ID,姓名,颜色,领域
213,司马辅,未知,三国魏国
214,司马翼,未知,三国魏国
215,司马晃,未知,三国魏国
216,司马珪,未知,三国魏国
217,司马衡,未知,三国魏国
218,司马旭,未知,三国魏国
219,司马进,未知,三国魏国
220,司马通,未知,三国魏国
221,司马敏,未知,三国魏国
222,来莺儿,未知,三国魏国
223,秦明（三国）,绿色,三国魏国
224,赵云,橙色,三国蜀国
225,刘备,紫色,三国蜀国
226,诸葛亮,紫色,三国蜀国
227,关羽,紫色,三国蜀国
228,魏延,紫武,三国蜀国
229,张飞,紫色,三国蜀国
230,马超,紫武,三国蜀国
231,黄忠,紫色,三国蜀国
232,庞统,紫文,三国蜀国
233,李严,绿武,三国蜀国
234,董允,绿文,三国蜀国
235,法正,蓝武,三国蜀国
236,刘巴,绿文,三国蜀国
237,姜维,紫武,三国蜀国
238,孙尚香,绿武,三国蜀国
239,廖化,蓝武,三国蜀国
240,孟获,蓝武,三国蜀国
241,周仓,蓝武,三国蜀国
242,祝融夫人,蓝色,三国蜀国
243,关平,蓝武,三国蜀国
244,夏侯霸,蓝色,三国蜀国
245,关凤,蓝色,三国蜀国
246,马岱,蓝色,三国蜀国
247,马谡,绿武,三国蜀国
248,关兴,蓝武,三国蜀国
249,黄月英,蓝文,三国蜀国
250,诸葛瞻,蓝武,三国蜀国
251,马忠,蓝色,三国蜀国
252,邓芝,绿武,三国蜀国
253,陈式,绿武,三国蜀国
254,关统,蓝色,三国蜀国
255,赵统,绿武,三国蜀国
256,糜竺,蓝色,三国蜀国
257,伊籍,蓝文,三国蜀国
258,刘封,绿武,三国蜀国
259,陈珪,绿文,三国蜀国
260,甘夫人,绿文,三国蜀国
261,蒋琬,蓝文,三国蜀国
262,马良,蓝文,三国蜀国
263,王平,蓝武,三国蜀国
264,徐庶,紫武,三国蜀国
265,陈到,绿色,三国蜀国
266,糜芳,绿武,三国蜀国
267,吕乂,绿色,三国蜀国
268,冯习,绿武,三国蜀国
269,谯周,绿色,三国蜀国
270,黄崇,绿色,三国蜀国
271,李球,绿武,三国蜀国
272,张嶷,绿武,三国蜀国
273,糜夫人,绿色,三国蜀国
274,吴班,绿色,三国蜀国
275,向宠,蓝武,三国蜀国
276,关索,蓝武,三国蜀国
277,赵广,绿色,三国蜀国
278,刘永,绿色,三国蜀国
279,傅佥,绿色,三国蜀国
280,梁虔,绿文,三国蜀国
281,蒋斌,绿色,三国蜀国
282,王含,绿武,三国蜀国
283,伯苗,绿色,三国蜀国
284,张苞,蓝武,三国蜀国
285,吕凯,绿文,三国蜀国
286,刘谌,绿武,三国蜀国
287,尹默,绿文,三国蜀国
288,杨颙,绿文,三国蜀国
289,李譔,绿文,三国蜀国
290,陈震,绿文,三国蜀国
291,刘理,绿武,三国蜀国
292,庞柔,绿武,三国蜀国
293,宗预,绿色,三国蜀国
294,张遵,绿色,三国蜀国
295,关彝,绿武,三国蜀国
296,诸葛尚,绿武,三国蜀国
297,诸葛均,蓝文,三国蜀国
298,刘琰,绿色,三国蜀国
299,李恢,绿色,三国蜀国
300,诸葛乔,绿武,三国蜀国
301,士仁,绿色,三国蜀国
302,杜微,绿文,三国蜀国
303,卓膺,绿武,三国蜀国
304,严颜,蓝武,三国蜀国
305,吴懿,绿色,三国蜀国
306,孟光,绿文,三国蜀国
307,许靖,绿色,三国蜀国
308,董和,绿文,三国蜀国
309,霍峻,绿色,三国蜀国
310,孙乾,绿文,三国蜀国
311,费祎,蓝文,三国蜀国
312,罗宪,绿文,三国蜀国
313,杨仪,绿武,三国蜀国
314,来敏,绿文,三国蜀国
315,傅士仁,绿色,三国蜀国
316,高翔,绿色,三国蜀国
317,龚都,绿武,三国蜀国
318,黄皓,绿色,三国蜀国
319,刘禅,绿武,三国蜀国
320,蜀先主甘皇后,绿文,三国蜀国
321,先主吴皇后,绿文,三国蜀国
322,后主张皇后,绿文,三国蜀国
323,孙干,绿色,三国蜀国
324,刘義叟,蓝色,三国蜀国
325,孙权,蓝武,三国吴国
326,周瑜,紫色,三国吴国
327,孙策,紫武,三国吴国
328,甘宁,紫武,三国吴国
329,孙坚,紫武,三国吴国
330,太史慈,紫武,三国吴国
331,吕蒙,蓝武,三国吴国
332,陆逊,紫武,三国吴国
333,张昭,蓝文,三国吴国
334,鲁肃,蓝文,三国吴国
335,黄盖,蓝武,三国吴国
336,凌统,蓝武,三国吴国
337,诸葛恪,绿文,三国吴国
338,文鸯,绿武,三国吴国
339,吴国太,绿文,三国吴国
340,潘璋,蓝武,三国吴国
341,陆抗,绿武,三国吴国
342,刘敦,未知,三国吴国
343,顾雍,绿文,三国吴国
344,丁奉,蓝武,三国吴国
345,徐盛,蓝武,三国吴国
346,张纮,蓝色,三国吴国
347,小乔,蓝武,三国吴国
348,大乔,蓝武,三国吴国
349,钟离斐,绿文,三国吴国
350,士(黄有),绿色,三国吴国
351,士徽,绿色,三国吴国
352,士壹,绿文,三国吴国
353,步玑,绿武,三国吴国
354,步璇,绿色,三国吴国
355,张象,绿色,三国吴国
356,胡综,绿色,三国吴国
357,左奕,绿色,三国吴国
358,太史亨,绿色,三国吴国
359,步协,绿武,三国吴国
360,贺齐,绿色,三国吴国
361,凌操,绿色,三国吴国
362,张悌,绿色,三国吴国
363,士燮,绿色,三国吴国
364,董袭,绿武,三国吴国
365,吴主王皇后,绿文,三国吴国
366,孙亮全皇后,绿文,三国吴国
367,孙休朱皇后,绿文,三国吴国
368,孙皓滕皇后,绿文,三国吴国
369,全公主,绿文,三国吴国
370,朱公主,绿文,三国吴国
371,丁仪,未知,三国
372,丁原,未知,三国
373,丁谧,未知,三国
374,丁廙,未知,三国
375,士孙瑞,未知,三国
376,卫瓘,未知,三国
377,马磾,未知,三国
378,王匡,未知,三国
379,王观,未知,三国
380,王甫,未知,三国
381,王连,未知,三国
382,王肃,未知,三国
383,王修,未知,三国
384,王浑,未知,三国
385,王路,未知,三国
386,王颀,未知,三国
387,王朗,未知,三国
388,王谋,未知,三国
389,王睿,未知,三国
390,公孙度,未知,三国
391,尹奉,未知,三国
392,邓止飏,未知,三国
393,孔伷,未知,三国
394,孔昱,未知,三国
395,孔融,未知,三国
396,母丘甸,未知,三国
397,母丘俭,未知,三国
398,申耽,未知,三国
399,田丰,未知,三国
400,司马防,未知,三国
401,司马儁,未知,三国
402,司马徽,未知,三国
403,边让,未知,三国
404,吉穆,未知,三国
405,吉邈,未知,三国
406,吕范,未知,三国
407,吕岱,未知,三国
408,吕据,未知,三国
409,朱隽,未知,三国
410,朱然,未知,三国
411,伍孚,未知,三国
412,伍琼,未知,三国
413,任峻,未知,三国
414,华陀,未知,三国
415,华核,未知,三国
416,向朗,未知,三国
417,全琮,未知,三国
418,刘协,未知,三国
419,刘先,未知,三国
420,刘邠,未知,三国
421,刘劭,未知,三国
422,刘表,未知,三国
423,刘岱,未知,三国
424,刘宠,未知,三国
425,刘勋,未知,三国
426,刘晔,未知,三国
427,刘陶,未知,三国
428,刘焉,未知,三国
429,刘虞,未知,三国
430,刘廙,未知,三国
431,刘璋,未知,三国
432,刘繇,未知,三国
433,刘瑢,未知,三国
434,许允,未知,三国
435,许劭,未知,三国
436,许慈,未知,三国
437,孙匡,未知,三国
438,孙休,未知,三国
439,孙观,未知,三国
440,孙和,未知,三国
441,孙河,未知,三国
442,孙桓,未知,三国
443,孙峻,未知,三国
444,孙皎,未知,三国
445,孙翊,未知,三国
446,孙綝,未知,三国
447,孙登,未知,三国
448,孙瑜,未知,三国
449,刘静,未知,三国
450,孙韶,未知,三国
451,邯郸淳,未知,三国
452,严畯,未知,三国
453,社预,未知,三国
454,社袭,未知,三国
455,杜琼,未知,三国
456,唐阜,未知,三国
457,杨修,未知,三国
458,杨洪,未知,三国
459,杨彪,未知,三国
460,杨暨,未知,三国
461,李胜,未知,三国
462,孝通,未知,三国
463,李福,未知,三国
464,李撰,未知,三国
465,吾粲,未知,三国
466,邴原,未知,三国
467,步骘,未知,三国
468,岑晊,未知,三国
469,何进,未知,三国
470,何宗,未知,三国
471,何晏,未知,三国
472,何曾,未知,三国
473,何颙,未知,三国
474,应劭,未知,三国
475,辛毗,未知,三国
476,辛敞,未知,三国
477,宋忠,未知,三国
478,张休,未知,三国
479,张松,未知,三国
480,张承,未知,三国
481,张南,未知,三国
482,张津,未知,三国
483,张温,未知,三国
484,张裔,未知,三国
485,张翼,未知,三国
486,陆纡,未知,三国
487,陆凯,未知,三国
488,陆骏,未知,三国
489,陆康,未知,三国
490,陆绩,未知,三国
491,陈武,未知,三国
492,陈翔,未知,三国
493,邵悌,未知,三国
494,苑康,未知,三国
495,范滂,未知,三国
496,和洽,未知,三国
497,金尚,未知,三国
498,金袆,未知,三国
499,金旋,未知,三国
500,周奂,未知,三国
501,周昕,未知,三国
502,周毖,未知,三国
503,周鲂,未知,三国
504,周群,未知,三国
505,庞德公,未知,三国
506,郑泰,未知,三国
507,郑袤,未知,三国
508,审配,未知,三国
509,孟达,未知,三国
510,赵歧,未知,三国
511,赵昂,未知,三国
512,赵咨,未知,三国
513,荀恽,未知,三国
514,荀爽,未知,三国
515,荀谌,未知,三国
516,胡奋,未知,三国
517,胡质,未知,三国
518,胡济,未知,三国
519,胡烈,未知,三国
520,胡渊,未知,三国
521,胡邈,未知,三国
522,种会,未知,三国
523,种劭,未知,三国
524,钟拂,未知,三国
525,郗虑,未知,三国
526,郄正,未知,三国
527,姜叙,未知,三国
528,祖茂,未知,三国
529,费观,未知,三国
530,骆统,未知,三国
531,秦宓,未知,三国
532,袁术,未知,三国
533,袁尚,未知,三国
534,袁逢,未知,三国
535,袁隗,未知,三国
536,袁遗,未知,三国
537,袁熙,未知,三国
538,袁谭,未知,三国
539,耿纪,未知,三国
540,桓阶,未知,三国
541,桓范,未知,三国
542,桥玄,未知,三国
543,夏侯敦,未知,三国
544,夏侯琳,未知,三国
545,徐璆,未知,三国
546,脂习,未知,三国
547,留赞,未知,三国
548,高柔,未知,三国
549,郭攸之,未知,三国
550,郭恩,未知,三国
551,诸葛珪,未知,三国
552,诸葛原,未知,三国
553,诸葛瑾,未知,三国
554,陶谦,未知,三国
555,眭固,未知,三国
556,淳于琼,未知,三国
557,彭羕,未知,三国
558,董厥,未知,三国
559,蒋钦,未知,三国
560,韩当,未知,三国
561,韩珩,未知,三国
562,韩浩,未知,三国
563,韩暨,未知,三国
564,韩馥,未知,三国
565,程秉,未知,三国
566,程普,未知,三国
567,程畿,未知,三国
568,傅干,未知,三国
569,蒯良,未知,三国
570,楼玄,未知,三国
571,虞翻,未知,三国
572,路粹,未知,三国
573,简雍,未知,三国
574,蔡邕,未知,三国
575,管宁,未知,三国
576,管恪,未知,三国
577,廖立,未知,三国
578,樊建,未知,三国
579,滕胤,未知,三国
580,圆泽,未知,三国
581,潘浚,未知,三国
582,薛悌,未知,三国
583,薛综,未知,三国
584,檀敷,未知,三国
585,濮阳兴,未知,三国
586,丁夫人,未知,三国
587,丁立,未知,三国
588,丁封,未知,三国
589,丁咸,未知,三国
590,丁斐,未知,三国
591,于吉,未知,三国
592,于诠,未知,三国
593,于糜,未知,三国
594,万彧,未知,三国
595,卫仲道,未知,三国
596,卫演,未知,三国
597,马元义,未知,三国
598,马玉,未知,三国
599,马延,未知,三国
600,马宇,未知,三国
601,马玩,未知,三国
602,马钧,未知,三国
603,马遵,未知,三国
604,马邈,未知,三国
605,王子服,未知,三国
606,王方,未知,三国
607,王业,未知,三国
608,正立,未知,三国
609,王必,未知,三国
610,王则,未知,三国
611,王伉,未知,三国
612,王买,未知,三国
613,王邑,未知,三国
614,王经,未知,三国
615,王经母,未知,三国
616,王威,未知,三国
617,王美人,未知,三国
618,王累,未知,三国
619,王琰,未知,三国
620,王楷,未知,三国
621,王瓘,未知,三国
622,韦晃,未知,三国
623,区星,未知,三国
624,毛后,未知,三国
625,公孙修,未知,三国
626,公孙晃,未知,三国
627,公孙渊,未知,三国
628,卞后,未知,三国
629,文丑,紫武,三国
630,尹大目,未知,三国
631,尹礼,未知,三国
632,尹赏,未知,三国
633,尹楷,未知,三国
634,邓义,未知,三国
635,邓龙,未知,三国
636,邓良,未知,三国
637,邓贤,未知,三国
638,邓忠,未知,三国
639,邓铜,未知,三国
640,邓敦,未知,三国
641,孔宙,未知,三国
642,左丰,未知,三国
643,左灵,未知,三国
644,石广元,未知,三国
645,石苞,未知,三国
646,申仪,未知,三国
647,田氏,未知,三国
648,田章,未知,三国
649,田续,未知,三国
650,田楷,未知,三国
651,丘建,未知,三国
652,白寿,未知,三国
653,句安,未知,三国
654,乐就,未知,三国
655,冯礼,未知,三国
656,司马攸,未知,三国
657,司马钧,未知,三国
658,司蕃,未知,三国
659,边洪,未知,三国
660,邢贞,未知,三国
661,成宜,未知,三国
662,成济,未知,三国
663,成倅,未知,三国
664,成廉,未知,三国
665,师纂,未知,三国
666,吕公,未知,三国
667,吕旷,未知,三国
668,吕伯奢,未知,三国
669,吕建,未知,三国
670,吕威璜,未知,三国
671,吕翔,未知,三国
672,吕霸,未知,三国
673,朱太后,未知,三国
674,朱异,未知,三国
675,朱治,未知,三国
676,朱桓,未知,三国
677,朱恩,未知,三国
678,朱褒,未知,三国
679,朱赞,未知,三国
680,伍习,未知,三国
681,伍延,未知,三国
682,伏后,未知,三国
683,伏完,未知,三国
684,伏德,未知,三国
685,任夔,未知,三国
686,向举,未知,三国
687,全后,未知,三国
688,全纪,未知,三国
689,全尚,未知,三国
690,全尚妻,未知,三国
691,全怿,未知,三国
692,全样,未知,三国
693,刘元起,未知,三国
694,刘氏,未知,三国
695,刘艾,未知,三国
696,刘宁,未知,三国
697,刘延,未知,三国
698,刘丞,未知,三国
699,刘范,未知,三国
700,刘贤,未知,三国
701,刘合,未知,三国
702,刘度,未知,三国
703,刘恂,未知,三国
704,刘敏,未知,三国
705,刘清,未知,三国
706,刘淙,未知,三国
707,刘琬,未知,三国
708,刘循,未知,三国
709,刘寔,未知,三国
710,刘瑁,未知,三国
711,刘璝,未知,三国
712,刘瑶,未知,三国
713,刘盘,未知,三国
714,刘辩,未知,三国
715,刘璩,未知,三国
716,刘瓒,未知,三国
717,州泰,未知,三国
718,许仪,未知,三国
719,许芝,未知,三国
720,许汜,未知,三国
721,许贡,未知,三国
722,许贡家客,未知,三国
723,许昌,未知,三国
724,许晏,未知,三国
725,许韶,未知,三国
726,阳群,未知,三国
727,阴夔,未知,三国
728,纪灵,未知,三国
729,孙夫人,未知,三国
730,孙异,未知,三国
731,孙秀,未知,三国
732,孙闿,未知,三国
733,孙恭,未知,三国
734,孙恩,未知,三国
735,孙高,未知,三国
736,孙朗,未知,三国
737,孙据,未知,三国
738,孙谦,未知,三国
739,孙楷,未知,三国
740,孙歆,未知,三国
741,孙雨单,未知,三国
742,严白虎,未知,三国
743,严象,未知,三国
744,严舆,未知,三国
745,苏飞,未知,三国
746,苏双,未知,三国
747,苏由,未知,三国
748,苏越,未知,三国
749,杜祺,未知,三国
750,杜路,未知,三国
751,杨丑,未知,三国
752,杨怀,未知,三国
753,杨昂,未知,三国
754,杨欣,未知,三国
755,杨祚,未知,三国
756,杨密,未知,三国
757,杨综,未知,三国
758,杨琦,未知,三国
759,李丰,未知,三国
760,李乐,未知,三国
761,李伏,未知,三国
762,李异,未知,三国
763,李服,未知,三国
764,李封,未知,三国
765,李崇,未知,三国
766,李堪,未知,三国
767,李催,未知,三国
768,李蒙,未知,三国
769,李暹,未知,三国
770,吾彦,未知,三国
771,步阐,未知,三国
772,吴子兰,未知,三国
773,吴夫人,未知,三国
774,吴匡,未知,三国
775,吴纲,未知,三国
776,吴硕,未知,三国
777,吴景,未知,三国
778,吴敦,未知,三国
779,岑昏,未知,三国
780,何太后,未知,三国
781,何平,未知,三国
782,何苗,未知,三国
783,何曼,未知,三国
784,何植,未知,三国
785,谷利,未知,三国
786,邹靖,蓝武,三国
787,辛评,未知,三国
788,辛宪英,未知,三国
789,闵贡,未知,三国
790,沙摩柯,未知,三国
791,沈莹,未知,三国
792,宋果,未知,三国
793,宋谦,未知,三国
794,张卫,未知,三国
795,张世平,未知,三国
796,张节,未知,三国
797,张布,未知,三国
798,张让,未知,三国
799,张达,未知,三国
800,张当,未知,三国
801,张后,未知,三国
802,张约,未知,三国
803,张杨,未知,三国
804,张纯,未知,三国
805,张英,未知,三国
806,张肃,未知,三国
807,张弥,未知,三国
808,张绍,未知,三国
809,张勋,未知,三国
810,张钧,未知,三国
811,张俭,未知,三国
812,张音,未知,三国
813,张闿,未知,三国
814,张举,未知,三国
815,张峻,未知,三国
816,张着,未知,三国
817,张爽,未知,三国
818,张颢,未知,三国
819,张鲁母,未知,三国
820,张衡,未知,三国
821,陆景,未知,三国
822,陈生,未知,三国
823,陈兰,未知,三国
824,陈炜,未知,三国
825,陈耽,未知,三国
826,陈就,未知,三国
827,妫览,未知,三国
828,范疆,未知,三国
829,尚广,未知,三国
830,尚弘,未知,三国
831,昌豨,未知,三国
832,昌霸,未知,三国
833,周旨,未知,三国
834,周尚,未知,三国
835,周胤,未知,三国
836,周循,未知,三国
837,庞舒,未知,三国
838,庞羲,未知,三国
839,郑宝,未知,三国
840,郑度,未知,三国
841,单子春,未知,三国
842,法真,未知,三国
843,沮授,未知,三国
844,沮鹄,未知,三国
845,审荣,未知,三国
846,封谞,未知,三国
847,赵月,未知,三国
848,赵弘,未知,三国
849,赵范,未知,三国
850,赵直,未知,三国
851,赵忠,未知,三国
852,赵彦,未知,三国
853,赵累,未知,三国
854,赵韪,未知,三国
855,赵睿,未知,三国
856,赵融,未知,三国
857,赵衢,未知,三国
858,郝萌,未知,三国
859,荀恺,未知,三国
860,荀绲,未知,三国
861,胡才,未知,三国
862,胡车儿,未知,三国
863,胡氏,未知,三国
864,胡冲,未知,三国
865,胡赤儿,未知,三国
866,胡轸,未知,三国
867,胡遵,未知,三国
868,柳甫,未知,三国
869,种拂,未知,三国
870,种辑,未知,三国
871,段珪,未知,三国
872,段煨,未知,三国
873,皇甫郦,未知,三国
874,皇甫闿,未知,三国
875,侯成,未知,三国
876,侯览,未知,三国
877,爰邵,未知,三国
878,爰青彡,未知,三国
879,施朔,未知,三国
880,姜冏,未知,三国
881,迷当,未知,三国
882,祖郎,未知,三国
883,费诗,未知,三国
884,袁胤,未知,三国
885,袁綝,未知,三国
886,耿武,未知,三国
887,桓嘉,未知,三国
888,桓彝,未知,三国
889,桥蕤,未知,三国
890,贾范,未知,三国
891,夏侯令女,未知,三国
892,夏恽,未知,三国
893,徐夫人,未知,三国
894,徐氏,未知,三国
895,徐质,未知,三国
896,徐荣,未知,三国
897,徐勋,未知,三国
898,徐商,未知,三国
899,徐璜,未知,三国
900,殷纯,未知,三国
901,留平,未知,三国
902,留略,未知,三国
903,高沛,未知,三国
904,高定,未知,三国
905,郭太后,未知,三国
906,郭永,未知,三国
907,郭汜妻,未知,三国
908,郭图,未知,三国
909,郭胜,未知,三国
910,唐妃,未知,三国
911,唐周,未知,三国
912,唐咨,未知,三国
913,唐彬,未知,三国
914,诸葛玄,未知,三国
915,诸葛虔,未知,三国
916,陶应,未知,三国
917,陶商,未知,三国
918,陶睿,未知,三国
919,黄氏,未知,三国
920,黄祖,未知,三国
921,黄琬,未知,三国
922,曹文叔,未知,三国
923,曹节,未知,三国
924,曹后,未知,三国
925,曹性,未知,三国
926,曹豹,未知,三国
927,曹据,未知,三国
928,曹德,未知,三国
929,曹霖,未知,三国
930,盛勃,未知,三国
931,睦元进,未知,三国
932,常雕,未知,三国
933,崔州平,未知,三国
934,崔烈,未知,三国
935,笮融,未知,三国
936,阎芝,未知,三国
937,阎宇,未知,三国
938,阎晏,未知,三国
939,阎圃,未知,三国
940,阎象,未知,三国
941,梁刚,未知,三国
942,梁兴,未知,三国
943,梁宽,未知,三国
944,梁绪,未知,三国
945,彭伯,未知,三国
946,董太后,未知,三国
947,董寻,未知,三国
948,董祀,未知,三国
949,董承,未知,三国
950,董贵妃,未知,三国
951,董重,未知,三国
952,董超,未知,三国
953,董朝,未知,三国
954,董璜,未知,三国
955,董衡,未知,三国
956,蒋义渠,未知,三国
957,蒋延,未知,三国
958,蒋奇,未知,三国
959,蒋显,未知,三国
960,蒋班,未知,三国
961,蒋舒,未知,三国
962,韩玄,未知,三国
963,韩忠,未知,三国
964,韩莒子,未知,三国
965,韩胤,未知,三国
966,韩猛,未知,三国
967,韩综,未知,三国
968,韩暹,未知,三国
969,韩融,未知,三国
970,程咨,未知,三国
971,傅金,未知,三国
972,傅彤,未知,三国
973,傅婴,未知,三国
974,焦伯,未知,三国
975,焦触,未知,三国
976,焦彝,未知,三国
